year,game number,white,black,white num moves,black num moves,white ACPL,black ACPL,combined ACPL,ECO,opening,WC
1894,6,"Steinitz, William","Lasker, Emanuel",71,71,18.04225352112676,17.619718309859156,35.66197183098592,C53,"Italian Game: Classical Variation, Greco Gambit",Emanuel Lasker
1894,7,"Lasker, Emanuel","Steinitz, William",46,45,35.630434782608695,52.91111111111111,88.54154589371981,C62,Ruy Lopez: Steinitz Defense,Emanuel Lasker
1894,8,"Steinitz, William","Lasker, Emanuel",76,76,37.8421052631579,30.75,68.59210526315789,C10,"French Defense: Rubinstein Variation, Blackburne Defense",Emanuel Lasker
1894,9,"Lasker, Emanuel","Steinitz, William",49,48,16.142857142857142,22.395833333333332,38.538690476190474,C62,Ruy Lopez: Steinitz Defense,Emanuel Lasker
1894,10,"Steinitz, William","Lasker, Emanuel",34,34,41.411764705882355,25.970588235294116,67.38235294117646,D35,Queen's Gambit Declined: Normal Defense,Emanuel Lasker
1894,11,"Lasker, Emanuel","Steinitz, William",38,37,25.605263157894736,37.891891891891895,63.49715504978663,D37,Queen's Gambit Declined: Three Knights Variation,Emanuel Lasker
1894,12,"Steinitz, William","Lasker, Emanuel",50,50,20.14,18.58,38.72,D60,Queen's Gambit Declined: Orthodox Defense,Emanuel Lasker
1894,13,"Lasker, Emanuel","Steinitz, William",55,55,28.654545454545456,16.963636363636365,45.618181818181824,C68,Ruy Lopez: Exchange Variation,Emanuel Lasker
1894,14,"Steinitz, William","Lasker, Emanuel",46,45,15.521739130434783,24.711111111111112,40.2328502415459,D46,Semi-Slav Defense: Chigorin Defense,Emanuel Lasker
1894,15,"Lasker, Emanuel","Steinitz, William",44,43,13.227272727272727,24.88372093023256,38.11099365750529,D37,Queen's Gambit Declined: Three Knights Variation,Emanuel Lasker
1894,16,"Steinitz, William","Lasker, Emanuel",54,54,32.611111111111114,23.12962962962963,55.74074074074075,D60,Queen's Gambit Declined: Orthodox Defense,Emanuel Lasker
1894,17,"Lasker, Emanuel","Steinitz, William",51,51,18.705882352941178,17.333333333333332,36.03921568627451,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",Emanuel Lasker
1894,18,"Steinitz, William","Lasker, Emanuel",61,61,20.65573770491803,19.016393442622952,39.67213114754098,D67,"Queen's Gambit Declined: Orthodox Defense, Bd3 Line",Emanuel Lasker
1894,19,"Lasker, Emanuel","Steinitz, William",52,51,15.096153846153847,23.647058823529413,38.74321266968326,D37,Queen's Gambit Declined: Three Knights Variation,Emanuel Lasker
1896,1,"Steinitz, William","Lasker, Emanuel",45,45,33.62222222222222,27.022222222222222,60.644444444444446,C54,"Italian Game: Giuoco Piano, Steinitz Variation",Emanuel Lasker
1896,2,"Lasker, Emanuel","Steinitz, William",40,40,13.7,20.9,34.599999999999994,C64,"Ruy Lopez: Classical Variation, Central Variation",Emanuel Lasker
1896,3,"Steinitz, William","Lasker, Emanuel",39,39,25.974358974358974,15.076923076923077,41.05128205128205,C54,"Italian Game: Giuoco Piano, Steinitz Variation",Emanuel Lasker
1896,4,"Lasker, Emanuel","Steinitz, William",66,65,14.257575757575758,18.784615384615385,33.04219114219114,C64,"Ruy Lopez: Classical Variation, Central Variation",Emanuel Lasker
1896,5,"Steinitz, William","Lasker, Emanuel",39,39,39.76923076923077,41.35897435897436,81.12820512820512,D53,Queen's Gambit Declined,Emanuel Lasker
1896,6,"Lasker, Emanuel","Steinitz, William",58,57,29.53448275862069,41.8421052631579,71.37658802177859,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",Emanuel Lasker
1896,7,"Steinitz, William","Lasker, Emanuel",75,75,20.466666666666665,20.6,41.06666666666666,D53,Queen's Gambit Declined,Emanuel Lasker
1896,8,"Lasker, Emanuel","Steinitz, William",56,55,39.44642857142857,38.163636363636364,77.61006493506494,C62,Ruy Lopez: Steinitz Defense,Emanuel Lasker
1896,9,"Steinitz, William","Lasker, Emanuel",34,34,24.58823529411765,22.647058823529413,47.23529411764706,D53,Queen's Gambit Declined,Emanuel Lasker
1896,10,"Lasker, Emanuel","Steinitz, William",41,40,16.26829268292683,22.5,38.76829268292683,C68,"Ruy Lopez: Exchange Variation, Keres Variation",Emanuel Lasker
1896,11,"Steinitz, William","Lasker, Emanuel",64,64,16.59375,11.1875,27.78125,D53,Queen's Gambit Declined,Emanuel Lasker
1896,12,"Lasker, Emanuel","Steinitz, William",30,30,31.3,20.833333333333332,52.13333333333333,C71,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense",Emanuel Lasker
1896,13,"Steinitz, William","Lasker, Emanuel",38,37,20.842105263157894,24.64864864864865,45.49075391180654,D53,Queen's Gambit Declined,Emanuel Lasker
1896,14,"Lasker, Emanuel","Steinitz, William",78,77,28.807692307692307,31.68831168831169,60.49600399600399,C68,"Ruy Lopez: Exchange Variation, Keres Variation",Emanuel Lasker
1896,15,"Steinitz, William","Lasker, Emanuel",35,34,13.2,12.941176470588236,26.141176470588235,D53,Queen's Gambit Declined,Emanuel Lasker
1896,16,"Lasker, Emanuel","Steinitz, William",42,40,26.142857142857142,38.475,64.61785714285715,C71,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense",Emanuel Lasker
1896,17,"Steinitz, William","Lasker, Emanuel",59,59,33.186440677966104,32.25423728813559,65.4406779661017,D60,"Queen's Gambit Declined: Orthodox Defense, Rauzer Variation",Emanuel Lasker
1907,1,"Marshall, Frank James","Lasker, Emanuel",49,49,34.89795918367347,28.53061224489796,63.42857142857143,C65,"Ruy Lopez: Berlin Defense, Nyholm Attack",Emanuel Lasker
1907,2,"Lasker, Emanuel","Marshall, Frank James",52,51,22.307692307692307,29.431372549019606,51.73906485671191,C11,"French Defense: Classical Variation, Swiss Variation",Emanuel Lasker
1907,3,"Marshall, Frank James","Lasker, Emanuel",42,42,37.214285714285715,22.404761904761905,59.61904761904762,D53,Queen's Gambit Declined: Lasker Defense,Emanuel Lasker
